Client_ID,Username,Email,Age,Gender,Annual_Income,Purchase_Frequency,Amount_Spent,Product_Category,Time_Spent,Payment_Method,Discount_Used,Fraud
00001,Kathleen Carter,kathleen.ca@yahoo.com,47,Female,29080,1,410.65,Toys,29.53,Wire,0,0
00002,Cheryl Cannon,cheryl.ca@gmail.com,19,Male,62617,1,46.92,Home,36.93,Debit Card,0,0
00003,Ebony Cooper,ebony.co@yahoo.com,56,Female,85182,1,434.7,Fashion,56.71,Debit Card,0,0
00004,Barbara Vazquez,barbara.va@hotmail.com,49,Female,59706,2,273.98,Sports,28.35,Credit Card,0,0
00005,Tyrone White,tyrone.wh@yahoo.com,19,Male,48220,1,204.69,Toys,36.2,Wire,0,0
00006,Ronald Gilbert,ronald.gi@yahoo.com,46,Female,46838,1,166.88,Books,22.31,Credit Card,0,1
00007,Robert Harris,robert.ha@gmail.com,26,Female,60256,3,49.1,Fashion,11.47,Credit Card,1,0
00008,Adam Oneal,adam.on@yahoo.com,19,Male,64381,2,144.33,Toys,43.14,Credit Card,0,0
00009,Erika King,erika.ki@hotmail.com,38,Female,20258,2,631.15,Electronic,57.41,Credit Card,0,0
00010,Jesse Dillon,jesse.di@gmail.com,24,Female,49818,1,71.66,Books,42.99,Credit Card,0,0
00011,Renee Kent,renee.ke@hotmail.com,57,Male,28666,1,338.39,Books,9.67,Wire,0,0
00012,Gene Bennett,gene.be@yahoo.com,39,Male,44746,1,397.26,Sports,17.32,Credit Card,0,0
00013,David Moore,david.mo@yahoo.com,28,Female,51064,3,1272.17,Home,13.21,Credit Card,0,0
00014,Megan Aguilar,megan.ag@yahoo.com,37,Other,58415,1,314.68,Home,37.17,Wire,0,0
00015,Aaron Watkins,aaron.wa@yahoo.com,40,Male,79198,1,334.3,Home,20.25,Credit Card,0,0
00016,Robert Mendoza,robert.me@yahoo.com,40,Male,63017,2,876.31,Toys,52.41,Wire,0,0
00017,David Horn,david.ho@gmail.com,39,Female,68884,1,208.89,Sports,57.9,Debit Card,0,0
00018,Rebecca Chapman,rebecca.ch@gmail.com,41,Male,60100,3,1372.17,Toys,44.26,Wire,0,0
00019,Christine Jennings,christine.je@yahoo.com,25,Male,49697,5,526.35,Sports,63.32,Wire,0,0
00020,Alexis Robbins,alexis.ro@gmail.com,42,Female,37376,1,412.48,Home,19.08,Debit Card,0,0
00021,Emily Alvarez,emily.al@gmail.com,48,Female,74761,2,935.89,Sports,32.83,PayPal,0,0
00022,James Kelley,james.ke@gmail.com,46,Female,18574,1,147.03,Fashion,20.17,Credit Card,0,1
00023,William Henry,william.he@hotmail.com,30,Female,17761,1,27.24,Fashion,30.13,Credit Card,0,0
00024,Kelly Reynolds,kelly.re@hotmail.com,30,Male,75557,2,802.97,Books,50.52,Wire,0,0
00025,Jimmy Smith,jimmy.sm@hotmail.com,38,Other,35722,1,11.57,Books,58.59,Wire,1,0
00026,Eric Hill,eric.hi@hotmail.com,42,Female,54426,3,287.14,Home,42.29,Credit Card,0,0
00027,Elizabeth Moses,elizabeth.mo@yahoo.com,40,Male,56168,2,357.31,Electronic,32.7,Wire,0,0
00028,Ashley Pham,ashley.ph@gmail.com,57,Male,45574,4,1539.87,Home,38.23,Credit Card,0,0
00029,Manuel Dixon,manuel.di@hotmail.com,35,Male,55103,2,241.59,Books,42.47,Credit Card,0,0
00030,Kristen Conway,kristen.co@yahoo.com,34,Male,67772,1,56.75,Books,26.32,Credit Card,0,0
00031,David Thomas,david.th@gmail.com,40,Male,48594,1,375.37,Sports,55.48,Debit Card,0,0
00032,Amy Campbell,amy.ca@yahoo.com,18,Female,54146,1,421.11,Books,55.22,Wire,0,0
00033,Mary Lloyd,mary.ll@yahoo.com,46,Female,40562,2,244.65,Toys,17.54,Debit Card,1,0
00034,Victor Miles,victor.mi@gmail.com,57,Female,63810,2,178.35,Sports,40.28,PayPal,0,0
00035,Kevin Harris,kevin.ha@hotmail.com,18,Male,41930,2,532.82,Toys,34.64,Credit Card,0,0
00036,Christine Jackson,christine.ja@yahoo.com,36,Male,69378,2,547.65,Fashion,17.34,Debit Card,1,0
00037,Meghan Herrera,meghan.he@yahoo.com,26,Female,51733,1,76.11,Books,55.44,PayPal,0,0
00038,Bryan Maynard,bryan.ma@gmail.com,39,Male,57580,3,1486.09,Books,55.84,Credit Card,0,0
00039,Jerome Hampton,jerome.ha@gmail.com,18,Female,55394,4,136.84,Electronic,65.7,PayPal,0,0
00040,Dawn Ballard,dawn.ba@gmail.com,20,Male,65251,1,108.78,Toys,39.57,PayPal,0,0
00041,Erika Simmons,erika.si@hotmail.com,18,Male,65157,2,366.7,Electronic,55.71,Wire,0,0
00042,Lauren Banks,lauren.ba@yahoo.com,41,Male,58809,4,289.83,Books,67.06,Debit Card,0,0
00043,Austin Oconnor,austin.oc@gmail.com,52,Male,59302,2,664.16,Books,61.54,Credit Card,1,1
00044,Kenneth Adams,kenneth.ad@gmail.com,18,Male,55025,1,428.51,Toys,37.37,Credit Card,1,0
00045,Sean Vazquez,sean.va@gmail.com,43,Female,33187,1,417.2,Sports,57.21,Credit Card,1,0
00046,Ashley Lane,ashley.la@yahoo.com,31,Male,44611,2,456.79,Toys,11.66,PayPal,0,0
00047,Dale Wheeler,dale.wh@yahoo.com,39,Female,56265,1,430.88,Electronic,18.66,Wire,0,0
00048,Rhonda Manning,rhonda.ma@gmail.com,28,Male,38143,2,559.45,Sports,24.86,Debit Card,0,0
00049,David Duran,david.du@gmail.com,46,Female,16737,1,112.15,Toys,53.8,PayPal,0,0
00050,Carlos Parks,carlos.pa@hotmail.com,31,Female,48250,3,325.89,Toys,49.47,Wire,1,0
00051,Troy Oconnor,troy.oc@yahoo.com,38,Male,54558,2,847.3,Books,54.11,Wire,0,0
00052,Brian Holmes,brian.ho@gmail.com,30,Male,46804,1,357.18,Books,7.07,Credit Card,0,0
00053,Philip Cochran,philip.co@hotmail.com,48,Female,56181,1,336.33,Toys,24.98,Credit Card,0,0
00054,Ronald Hughes,ronald.hu@hotmail.com,18,Female,57690,1,163.07,Books,9.89,PayPal,0,0
00055,Wayne Mitchell,wayne.mi@hotmail.com,37,Female,67148,3,237.07,Sports,32.03,Credit Card,0,0
00056,Jonathon Mitchell,jonathon.mi@yahoo.com,21,Female,60758,2,278.36,Sports,23.16,Debit Card,0,0
00057,John Gonzalez,john.go@hotmail.com,50,Female,58657,1,478.41,Electronic,56.27,Wire,0,1
00058,Anita Garcia,anita.ga@hotmail.com,42,Female,52354,2,704.8,Fashion,50.41,Credit Card,0,0
00059,Jennifer Castillo,jennifer.ca@yahoo.com,29,Female,51438,3,223.43,Books,40.41,Credit Card,0,0
00060,Katie Fitzgerald,katie.fi@gmail.com,36,Female,82376,3,609.83,Home,27.36,PayPal,1,0
00061,Sean Wilson,sean.wi@yahoo.com,48,Female,60379,4,715.23,Electronic,50.66,Debit Card,0,0
00062,Dennis Good,dennis.go@gmail.com,45,Male,58536,4,386.37,Sports,63.44,PayPal,0,0
00063,Ryan James,ryan.ja@yahoo.com,26,Other,64812,2,844.02,Fashion,27.51,PayPal,0,0
00064,William Briggs,william.br@yahoo.com,40,Male,56784,5,1430.83,Books,62.37,PayPal,0,0
00065,Anthony Kelley,anthony.ke@gmail.com,27,Female,70774,1,99.6,Toys,23.82,PayPal,1,0
00066,Daniel Cruz,daniel.cr@hotmail.com,32,Female,36706,2,861.3,Sports,22.63,Wire,0,0
00067,Kevin Moreno,kevin.mo@hotmail.com,36,Female,40704,5,1625.41,Books,17.3,Debit Card,0,0
00068,Tyler Garcia,tyler.ga@hotmail.com,33,Male,46615,2,861.0,Fashion,42.33,Debit Card,0,0
00069,Jeffrey Hansen,jeffrey.ha@yahoo.com,38,Male,67387,4,1429.5,Books,34.83,PayPal,0,0
00070,Douglas Thomas,douglas.th@yahoo.com,24,Female,34471,3,1193.55,Home,20.23,Credit Card,0,0
00071,Kevin Wall,kevin.wa@gmail.com,33,Female,60986,1,211.66,Toys,47.88,Debit Card,0,0
00072,Melissa Diaz,melissa.di@gmail.com,33,Female,51479,1,417.38,Home,57.46,PayPal,0,0
00073,William Petty,william.pe@hotmail.com,55,Male,56701,2,372.12,Books,57.52,Credit Card,0,0
00074,Samantha Thomas,samantha.th@hotmail.com,26,Female,75592,2,54.15,Toys,25.08,Credit Card,1,0
00075,Joe Lopez,joe.lo@gmail.com,33,Female,41437,3,1227.1,Toys,35.93,Debit Card,0,0
